"id_operacion_predio";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"uit";"vereda";"npn";"novedad_numero_predial";"predio tipo";"condicion prop";"npn provisional"
"1642072";32;32;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090044000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642075";30;30;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090047000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642076";35;35;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090048000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642096";31;31;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090070000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642121";28;28;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090098000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642248";18;18;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090248000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642250";19;19;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090251000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642252";20;20;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090253000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642255";21;21;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090256000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642306";37;37;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090313000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642312";22;22;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090319000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642318";23;23;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090325000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642321";24;24;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090328000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642323";25;25;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090330000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642324";26;26;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090331000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642362";36;36;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090373000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642377";38;38;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090388000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642422";45;45;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090434000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642443";44;44;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090456000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642462";15;15;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090488000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642470";16;16;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090496000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642482";46;46;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090516000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642497";39;39;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090538000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642499";42;42;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090540000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642503";43;43;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090544000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642508";51;51;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090549000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642511";52;52;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090552000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642513";49;49;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090554000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642521";50;50;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090562000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642523";47;47;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090564000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642525";48;48;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090566000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642551";40;40;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090592000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642552";41;41;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090593000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642557";12;12;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090597500000001";Cancelacion;;;
"1642614";2;2;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090660500000001";Cancelacion;;;
"1642615";3;3;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090660500000002";Cancelacion;;;
"1642627";4;4;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090671500000001";Cancelacion;;;
"1642628";5;5;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090671500000002";Cancelacion;;;
"1642643";34;34;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090702000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642713";14;14;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090809500000001";Cancelacion;;;
"1642740";6;6;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090840500000001";Cancelacion;;;
"1642803";7;7;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090938500000001";Cancelacion;;;
"1642812";13;13;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090953500000001";Cancelacion;;;
"1642815";17;17;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090957000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642825";33;33;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090992000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1642827";1;1;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000090995000000000";Cancelacion;;;
"1642856";8;8;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000091038500000001";Cancelacion;;;
"1642857";9;9;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000091038500000002";Cancelacion;;;
"1642858";10;10;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000091038500000003";Cancelacion;;;
"1642859";11;11;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000091038500000004";Cancelacion;;;
"1642904";29;29;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000091182000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1643313";27;27;BOYACÁ;RAMIRIQUI;"29/10/2025";"7";"15599000000000009";"155990000000000091596000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646165";145;145;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200005000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646166";146;146;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200006000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646174";177;177;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200014000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646175";149;149;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200015000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646182";144;144;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200022000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646184";150;150;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200024000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646198";176;176;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200044000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646200";168;168;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200046000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646202";169;169;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200048000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646204";171;171;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200050000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646207";174;174;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200053000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646214";173;173;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200064000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646215";172;172;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200065000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646216";170;170;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200066000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646219";86;86;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200070000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646222";87;87;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200073000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646226";88;88;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200078000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646231";110;110;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200083000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646233";115;115;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200085000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646237";118;118;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200089000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646238";120;120;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200090000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646242";116;116;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200094000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646246";100;100;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200098000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646248";109;109;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200100000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646249";108;108;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200101000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646250";107;107;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200102000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646252";106;106;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200104000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646255";114;114;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200110000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646257";111;111;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200112000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646259";112;112;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200114000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646260";113;113;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200115000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646265";105;105;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200120000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646267";104;104;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200122000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646268";103;103;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200123000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646272";102;102;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200127000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646273";101;101;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200128000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646274";117;117;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200129000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646275";119;119;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200130000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646279";164;164;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200134000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646283";158;158;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200138000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646287";159;159;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200142000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646291";165;165;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200146000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646294";160;160;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200149000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646304";161;161;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200160000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646308";162;162;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200164000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646314";143;143;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200171000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646323";147;147;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200182000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646328";148;148;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200187000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646337";166;166;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200196000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646338";167;167;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200197000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646343";175;175;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200202000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646353";89;89;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200213000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646354";90;90;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200214000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646356";91;91;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200216000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646357";92;92;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200217000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646358";93;93;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200218000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646359";94;94;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200219000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646360";95;95;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200220000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646361";96;96;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200221000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
"1646362";97;97;BOYACÁ;RAMIRIQUI;"29/10/2025";"2";"15599000000000020";"155990000000000200222000000000";Cambio_Numero_Predial_NPH_a_Informal;Publico_Presunto_Baldio;Informal;
