folio_derivados;codificion_predio
280-246986;NPH
280-246984;NPH
280-246975;Condominio_Unidad_Predial
280-246992;Condominio_Unidad_Predial
078-41138;NPH
280-246979;Condominio_Unidad_Predial
280-246968;NPH
280-246965;NPH
095-164663;PH_Matriz
083-42033;PH_Matriz
095-147931;PH_Matriz
280-246967;NPH
280-246966;Condominio_Unidad_Predial
280-246970;NPH
280-246987;NPH
040-612462;NPH
280-246973;NPH
280-246991;Condominio_Unidad_Predial
280-246990;Condominio_Unidad_Predial
095-162301;NPH
095-147931;NPH
280-246976;Condominio_Unidad_Predial
280-246990;NPH
040-612462;Condominio_Unidad_Predial
280-246978;Condominio_Unidad_Predial
280-246992;NPH
280-246967;Condominio_Unidad_Predial
280-246982;NPH
280-246982;Condominio_Unidad_Predial
095-162359;PH_Matriz
280-246965;Condominio_Unidad_Predial
078-41138;PH_Matriz
280-246979;NPH
280-246991;NPH
040-625802;NPH
280-246986;Condominio_Unidad_Predial
280-246980;Condominio_Unidad_Predial
280-246974;NPH
280-246993;NPH
095-155044;NPH
280-246972;NPH
280-246985;Condominio_Unidad_Predial
095-161518;NPH
280-246970;Condominio_Unidad_Predial
280-246976;NPH
280-246985;NPH
280-246981;Condominio_Unidad_Predial
280-246975;NPH
280-246977;NPH
280-246968;Condominio_Unidad_Predial
280-246981;NPH
280-246971;Condominio_Unidad_Predial
095-164663;NPH
095-162359;NPH
280-246966;NPH
280-246971;NPH
095-161518;PH_Matriz
060-365742;PH_Matriz
060-365742;NPH
280-246989;NPH
280-246980;NPH
280-246993;Condominio_Unidad_Predial
280-246983;NPH
280-246969;NPH
280-246987;Condominio_Unidad_Predial
095-162301;PH_Matriz
280-246989;Condominio_Unidad_Predial
280-246972;Condominio_Unidad_Predial
280-246988;NPH
280-246974;Condominio_Unidad_Predial
083-42033;NPH
280-246973;Condominio_Unidad_Predial
280-246983;Condominio_Unidad_Predial
280-246978;NPH
280-246984;Condominio_Unidad_Predial
280-246969;Condominio_Unidad_Predial
095-155044;PH_Matriz
040-625802;Condominio_Matriz
280-246988;Condominio_Unidad_Predial
040-612462;PH_Matriz
280-246977;Condominio_Unidad_Predial
095-111534;
297-8693;
297-8712;
297-8720;NPH
297-5075;
095-160099;
078-38899;NPH
297-8728;
090-21387;NPH
090-30503;NPH
297-8728;NPH
078-38898;
297-8691;
297-8732;NPH
078-38897;NPH
297-8725;NPH
095-153464;
095-126250;
079-11368;
095-25865;
090-63409;NPH
297-8722;
095-74371;NPH
090-63409;
079-11196;
297-8695;NPH
095-111534;NPH
090-6987;NPH
079-11369;
090-28210;
297-8731;
090-62537;
292-9309;
095-153464;NPH
095-137091;NPH
090-64044;NPH
090-2962;
280-50106;NPH
090-27249;NPH
090-30503;
078-21306;
297-8726;
095-9828;NPH
297-8727;NPH
078-22159;
346-11889;
090-17092;
095-158069;NPH
297-8709;
095-56521;
090-27067;NPH
095-137092;
297-8726;NPH
297-8687;NPH
280-250328;
297-8735;NPH
292-9259;
297-8739;
095-70056;
095-70056;NPH
297-8733;NPH
095-162919;NPH
040-531455;
078-10298;
280-51947;
280-33189;
297-2582;
095-85041;NPH
297-8718;NPH
095-112638;
346-11889;NPH
095-100006;NPH
095-107507;
060-26769;NPH
090-22563;
297-8735;
297-8675;NPH
095-56785;
095-160099;NPH
095-85040;NPH
297-8716;
297-8747;
297-8749;NPH
095-86484;NPH
297-8706;NPH
280-36891;
297-8688;NPH
040-531466;NPH
297-8713;
297-8702;
095-74371;
280-50106;
060-26751;NPH
297-8675;
297-8703;NPH
079-14079;NPH
297-8718;
297-8698;NPH
079-29511;NPH
083-16839;
095-19748;NPH
060-343411;
292-9147;
090-8318;
095-67091;NPH
297-8703;
078-21306;NPH
060-343412;
095-137092;NPH
297-8715;
060-343412;NPH
346-11535;
090-18330;
095-34563;
079-14081;
297-8729;
079-11368;NPH
095-121213;NPH
060-26751;
095-52400;NPH
297-8705;NPH
090-64249;NPH
090-23775;
297-7189;
297-8700;NPH
095-52400;
090-23775;NPH
297-8705;
095-70088;
297-8690;
297-8708;NPH
090-63062;
095-100010;
090-24761;
095-12118;NPH
297-8737;NPH
095-56785;NPH
090-27732;
297-2152;NPH
095-126251;NPH
090-24190;
095-83764;NPH
297-8711;NPH
297-8691;NPH
078-38733;
297-8700;
297-8696;
078-38734;NPH
090-62172;
078-37519;
078-38726;
078-40892;NPH
095-56522;NPH
090-64249;
297-8731;NPH
090-10986;NPH
090-64044;
297-8738;
090-11453;
078-38898;NPH
297-1549;NPH
280-135854;
083-16840;
083-16839;NPH
297-8740;
280-13351;
095-112638;NPH
090-62173;
090-28215;NPH
095-56520;
095-126252;NPH
079-14080;
297-8687;
297-2841;NPH
090-24762;NPH
090-27732;NPH
297-8690;NPH
297-2152;
297-8720;
297-8717;
297-8712;NPH
095-67091;
079-14081;NPH
095-12118;
090-62172;NPH
095-121213;
095-57742;NPH
090-8318;NPH
095-123996;
079-29515;NPH
297-8701;
297-8692;
280-61505;
083-16840;NPH
297-8727;
095-70088;NPH
078-38734;
090-63448;NPH
297-8741;
079-11196;NPH
040-531455;NPH
090-62536;NPH
297-8710;NPH
297-8692;NPH
280-135855;
095-112639;NPH
297-8725;
078-38727;NPH
297-8689;NPH
090-24879;NPH
090-62536;
297-8729;NPH
297-8739;NPH
297-8697;NPH
297-8688;
040-311863;NPH
079-14079;
297-8714;NPH
292-9309;NPH
090-6994;
079-46397;NPH
297-7189;NPH
297-8710;
297-8738;NPH
078-10298;NPH
095-34857;NPH
079-13586;NPH
090-24879;
095-126253;NPH
078-22159;NPH
297-8694;
280-33189;NPH
079-18635;NPH
297-8696;NPH
297-8719;
078-40630;
040-248400;NPH
095-100010;NPH
297-8594;
095-158070;NPH
079-29515;
292-9147;NPH
078-40630;NPH
090-22564;NPH
297-8746;NPH
297-8699;
297-8737;
297-1143;NPH
297-8742;
060-343413;NPH
078-38728;NPH
280-135855;NPH
090-63062;NPH
079-46396;
292-918;
095-161519;
297-8743;
095-158071;
297-8723;
090-24761;NPH
095-32680;NPH
297-8741;NPH
079-29511;
078-37519;NPH
297-8748;NPH
090-63410;
095-126254 ;
297-3983;
297-8747;NPH
090-35999;NPH
297-8743;NPH
078-38897;
095-112639;
297-8734;
297-8730;NPH
297-8713;NPH
292-918;NPH
079-14080;NPH
040-531466;
095-19748;
297-8715;NPH
297-8697;
095-25865;NPH
095-161519;NPH
090-30504;NPH
095-158069;
090-63410;NPH
095-121198;NPH
090-62173;NPH
078-15573;
297-8721;NPH
095-107283;NPH
297-3983;NPH
095-126250;NPH
095-56520;NPH
297-8695;
090-3708;
297-2582;NPH
280-135854;NPH
297-6192;NPH
090-64250;
297-8708;
079-46396;NPH
090-28215;
090-62537;NPH
090-27302;
090-28210;NPH
095-83764;
095-9828;
297-8733;
090-35999;
095-121198;
095-137090;NPH
297-2841;
297-8732;
297-1549;
040-311863;
090-10986;
090-21387;
078-38735;
297-8749;
079-18635;
095-161293;NPH
297-8594;NPH
095-32680;
095-126253;
090-22564;
297-8745;NPH
297-8742;NPH
095-107283;
040-248400;
078-38899;
297-8717;NPH
095-137091;
079-11193;NPH
292-9259;NPH
095-34563;NPH
060-343413;
297-6191;NPH
095-86484;
090-3708;NPH
297-8723;NPH
297-8698;
297-8711;
297-8730;
095-85041;
079-6705;
297-8704;NPH
095-34857;
078-38728;
090-27302;NPH
095-158071;NPH
297-8745;
090-27249;
297-8709;NPH
090-27067;
280-250328;NPH
297-8722;NPH
297-6192;
090-22563;NPH
090-30504;
297-8744;
297-8694;NPH
095-56522;
297-6191;
078-40892;
095-57742;
060-343411;NPH
280-61505;NPH
297-8724;NPH
095-126251;
297-1143;
297-8719;NPH
297-8702;NPH
095-100006;
095-123996;NPH
095-126254 ;NPH
095-158068;
297-8724;
078-38735;NPH
078-38727;
095-107507;NPH
090-6994;NPH
297-8704;
095-121212;NPH
297-8716;NPH
090-2962;NPH
095-158068;NPH
297-8701;NPH
297-8699;NPH
079-11369;NPH
090-24190;NPH
297-8706;
078-15573;NPH
297-8714;
090-64250;NPH
297-8746;
297-8736;
095-161293;
280-13351;NPH
297-8736;NPH
079-46397;
095-158070;
280-36891;NPH
346-11535;NPH
297-8748;
297-8721;
297-8689;
297-8707;
095-137090;
095-121212;
297-8734;NPH
078-38726;NPH
090-24762;
090-63448;
095-85040;
297-5075;NPH
297-8744;NPH
090-18330;NPH
079-6705;NPH
280-51947;NPH
297-8707;NPH
095-126252;
095-162919;
090-17092;NPH
090-11453;NPH
079-11193;
078-38733;NPH
095-57743;
079-13586;
297-8693;NPH
297-8740;NPH
095-57743;NPH
095-56521;NPH
090-6987;
060-26769;
